rating,title,body
2,说是无糖但很甜,"喝起来还是有明显甜味，看配料才发现有代糖，我就是想找真正没有甜味的茶。"
3,价格有点贵,"比便利店茶饮贵不少，如果没有明显区别我可能不会复购。"
5,配料干净,"配料表真的只有茶叶和水，这点很打动我，办公室下午喝不会有负担。"
2,包装漏了,"收到有一瓶瓶盖松了漏出来，外箱湿了，体验不好。"
4,口感清爽,"没有香精味，茶味比较真实，但第一次喝会觉得不够刺激。"
1,不如奶茶,"我想戒奶茶买的，但这个太淡了，喝两口就不想喝。"
5,适合控糖,"控糖期终于有不是白水的选择了，没有代糖后味。"
3,茶味有点苦,"冷藏后好一点，常温喝有点苦涩，希望能有更柔和的版本。"
2,看不懂卖点,"页面说很多健康概念，但我不知道和其他无糖茶到底差在哪。"
4,办公室替代咖啡,"下午喝不会心慌，也不像咖啡影响睡觉。"
1,物流慢,"等了四天才到，活动买的但体验被物流拖垮了。"
5,会复购,"对我来说重点是没有代糖，喝完嘴里不会有奇怪甜味。"
3,瓶子一般,"瓶身设计太普通了，拍照不好看。"
2,太淡,"茶味太淡了，感觉像有点颜色的水。"
4,清爽,"冰一下很好喝，比甜饮料舒服。"

